db,folder,file,description,timestamp,commit_sha,seed,epistemic_gain,b_candidates,opponent,n_steps,mean_joint_dist,start_joint_dist,final_joint_dist,joint_match_ratio,mean_row_dist,start_row_dist,final_row_dist,row_match_ratio,corr_joint_vfe,corr_joint_efe,corr_joint_gamma,corr_row_vfe,corr_row_efe,corr_row_gamma,mean_vfe,mean_efe,mean_gamma
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,5,10.0,Full,TFT,2000,0.4649910760288374,0.47427387321361814,0.4996354971304327,0.083,0.06497566800750793,0.03194272816181183,0.00043853759765625,0.8505,0.25856371083075075,-0.06875729335700416,-0.06875735241761831,-0.04752549688590163,0.25174308560682,0.2517429897715197,13.515240759663284,-4.366738799811188,2.093769904849295
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,8,10.0,Full,TFT,2000,0.4651322200196571,0.4740190241967973,0.4997094672240594,0.079,0.06295949822105468,0.033584239780902865,0.00034917831420898436,0.851,0.3060968375722578,-0.07337461250119957,-0.07337655368085279,-0.09591087900371253,0.3111250450094767,0.31112507984373483,13.559727374624462,-4.472457349895565,2.0780032545023404
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,3,10.0,Full,TFT,2000,0.4662637987193533,0.47268112602014584,0.49942900002787355,0.0815,0.06476144188456237,0.03447173327207565,0.0006986701488494873,0.851,0.25776678099944966,-0.08567020495825295,-0.08567126400046655,-0.03596686582522823,0.3054837308351437,0.3054843413536343,13.637677126351743,-4.3980870079038565,2.090391970046111
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,4,10.0,Full,TFT,2000,0.46011795447713727,0.4731471856745809,0.4984338103268597,0.088,0.06580883129965515,0.03421724855899811,0.001670132875442505,0.8565,0.2406965861488505,-0.08154673647793668,-0.08154546279570689,-0.0676277247959937,0.2155149333119832,0.21551501048764546,13.194642969980835,-4.253568109482516,2.1123306751730393
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,7,10.0,Full,TFT,2000,0.45805750072892715,0.4736038196460511,0.4995121872868443,0.0925,0.06328026783280075,0.033923463821411134,0.0006101512908935547,0.862,0.30987103996458226,-0.1379833821396034,-0.13798450113159796,-0.14758682551384114,0.324307015712576,0.3243070480731321,13.365674886330963,-4.253735243426589,2.1148184338357328
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,1,10.0,Full,TFT,2000,0.4625834713460739,0.47322085554662835,0.49946215910848535,0.0795,0.06343842092715203,0.034251869916915895,0.0006765151023864747,0.8535,0.32960854338731294,-0.10185766922335886,-0.10186089803008858,-0.14319952574763145,0.32594805352603784,0.3259487083705517,13.588111990392209,-4.37192008742467,2.094635056369632
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,2,10.0,Full,TFT,2000,0.4647823786094017,0.47320165932917346,0.49933519290302514,0.0825,0.0652310651363805,0.03506121337413788,0.0008215808868408203,0.8505,0.2915859026998098,-0.1396362355373565,-0.13963485334671458,-0.09597482196761996,0.3304933535049516,0.33049231639892934,13.526506543211639,-4.359245969572527,2.0967861484052692
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,7,10.0,Full Grim,Grim,2000,0.14711396468530483,0.5134678479526453,0.0955407190322876,0.6875,0.12334145507366338,0.06591546327807009,0.0955407190322876,0.7105,-0.08563546475012886,0.010426260775623452,0.010424710113271774,-0.15815718594552236,0.13879569174117304,0.1387941370168669,3.929771178422612,1.5932661996213284,3.699456906722091
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,5,10.0,Full Grim,Grim,2000,0.1429939066417258,0.5543414674870758,0.0955479884147644,0.654,0.11301066370290937,0.06370331287384033,0.0955479884147644,0.6835,-0.12216136775993593,-0.03482350424382359,-0.034826299838090324,-0.21661784089380057,0.13739383051484416,0.13739101365365383,3.9563503501737722,1.5667176256668816,3.6950670243469372
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,1,10.0,Full Grim,Grim,2000,0.1538293426741441,0.44793921468077047,0.09554142951965332,0.647,0.12817254518845583,0.05614822452887893,0.09554142951965332,0.6685,-0.09861541922520978,-0.08127675178650218,-0.0812765951848932,-0.17371274763075267,0.05155494504421664,0.05155517967879547,3.8706195181425427,1.6275376230447796,3.7069275486769784
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,3,10.0,Full Grim,Grim,2000,0.1343267367498239,0.4699568080262697,0.0955391001701355,0.67,0.10852802479396632,0.05910793032031506,0.0955391001701355,0.6965,-0.12973440192130237,0.012098918867926136,0.012099820520320364,-0.23266799227925536,0.1668427234346054,0.16684372031846936,3.9052069972915344,1.6018054055168123,3.697161414984354
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,2,10.0,Full Grim,Grim,2000,0.13842975901463783,0.40329588966073543,0.09553201913833619,0.65,0.11082297733181622,0.05101812032982707,0.09553201913833619,0.6985,-0.14452978850964499,-0.14226934629581547,-0.1422694472088538,-0.23665316436888545,0.040708243295450086,0.040708147254195144,3.7304254766346423,1.7157090968486355,3.7325783058828828
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,4,10.0,Full Grim,Grim,2000,0.12956156159910923,0.46996715475950696,0.09554889678955078,0.6965,0.1092387721107516,0.059117831387557086,0.09554889678955078,0.724,-0.17039047099562687,-0.056276713661261905,-0.0562747627685177,-0.27012798952647915,0.08392213034685873,0.08392411499711291,3.8281936970708195,1.6748222808927966,3.72649074741131
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,8,10.0,Full Grim,Grim,2000,0.13672483941039967,0.4698300935035055,0.09554013133049011,0.667,0.11164251125564624,0.05936009627766907,0.09554013133049011,0.705,-0.08500717637008749,0.015046238914272205,0.015043681360248315,-0.22017219191670184,0.21406314354777112,0.2140605382479638,3.895718364095548,1.674927190539104,3.724748493421008
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260309-141956,d6554bb8,6,10.0,Full Grim,Grim,2000,0.13549845083408474,0.5465748221268527,0.09553850173950196,0.654,0.10541522860071563,0.056673288345336914,0.09553850173950196,0.695,-0.14610355853648554,-0.045753043898680255,-0.045755873347396246,-0.2783895121918868,0.16353692331428352,0.16353401948396765,3.9819433940964517,1.570104201890461,3.69884797035251
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,3,10.0,Full Grim,Grim,2000,0.13739515105927919,0.53109349016774,0.09592876896262169,0.7905,0.09562604556676524,0.012907943616737612,0.09592876896262169,0.8495,0.4848592727457063,-0.32340834119175516,-0.3234259399278972,0.1797814621815636,-0.008779515911077198,-0.00879687702325708,0.9687309891049517,1.6895468654565846,3.7278466487489217
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,4,10.0,Full Grim,Grim,2000,0.1431964105102848,0.5298492530638773,0.09592764720320701,0.7615,0.10001366780548415,0.013258380212937482,0.09592764720320701,0.8175,0.5589036172834735,-0.41547227246592267,-0.4154943341837015,0.2556282738425681,-0.10726617841164707,-0.10728798481851706,0.7799492620368256,1.753270379621806,3.7492154524271935
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,2,10.0,Full Grim,Grim,2000,0.12832504016378649,0.5562821941810681,0.09592830836772918,0.824,0.09266323765752896,0.012010503549245186,0.09592830836772918,0.878,0.39119114382240716,-0.22002054688805148,-0.22003424445160683,0.09611016022889256,0.07933593813977441,0.07932247508504774,0.739419366068556,1.7729376847857483,3.7516425884268365
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,1,10.0,Full Grim,Grim,2000,0.13662664436692415,0.5383342559226515,0.09592845380306243,0.8455,0.09024565709407034,0.012713692694087514,0.09592845380306243,0.9135,0.2801847157236515,-0.10606158757148909,-0.10607928516773484,-0.07373538313079542,0.2641808373225318,0.2641634511199978,0.9641773321295622,1.6630956368420775,3.718270926618852
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,5,10.0,Full Grim,Grim,2000,0.1420889374541294,0.4986456077983987,0.09592880919575691,0.7815,0.09551207700587111,0.012894245982170104,0.09592880919575691,0.85,0.4983842549141514,-0.3272057069718055,-0.32722751940506123,0.15102847403850042,0.031447301774980604,0.03142576720915617,1.1057120927368524,1.6230783323714169,3.7087454922770138
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,6,10.0,Full Grim,Grim,2000,0.14814355104177926,0.4944950146762864,0.09592890158295632,0.7545,0.099928481910727,0.011415203809738159,0.09592890158295632,0.825,0.5941504805621606,-0.44475161333280505,-0.44476384051672685,0.2233915994435252,-0.06653082615890116,-0.06654273450123453,0.9007370958552928,1.6768109170466614,3.7291490268190937
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,8,10.0,Full Grim,Grim,2000,0.1330309087961316,0.5319654416794602,0.09592795804142952,0.7945,0.09516438576736255,0.013397585917264223,0.09592795804142952,0.8545,0.48717714029045067,-0.31827105442853254,-0.3182925729746915,0.16276780607850022,0.01181107753752142,0.011789784025286455,0.7481196857268223,1.747800979895922,3.7499088025831058
scripts\BMA-Study\EG10_group\Grim_vs_Grim_EG10.db,EG10_group,Grim_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-143734,d6554bb8,7,10.0,Full Grim,Grim,2000,0.14354703379856937,0.5150092575481032,0.09592844784259796,0.7965,0.09357024576273397,0.013379619504557922,0.09592844784259796,0.87,0.5028086616593628,-0.3011187715371744,-0.3011357677106225,0.13265803990697908,0.08988254620309621,0.08986585926368196,1.1277118361488683,1.6785061599072983,3.722277007294383
scripts\BMA-Study\EG10_group\TFT_vs_TFT_EG10.db,EG10_group,TFT_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-223701,cadb35fb,2,10.0,Full TFT,TFT,2000,0.8270090781035845,0.6142914705577921,0.7039474354189502,0.0005,0.18111935049295425,0.005935676097869873,0.004478061199188232,0.8,-0.4235074505497761,0.6735531721374295,0.6735546957648862,0.1518089717069942,0.3066133834032186,0.30661631307311893,0.26508812808652876,1.0797269422881954,3.3860568599835505
scripts\BMA-Study\EG10_group\TFT_vs_TFT_EG10.db,EG10_group,TFT_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-223701,cadb35fb,8,10.0,Full TFT,TFT,2000,0.8261992796146408,0.6008330305472966,0.7039474891237054,0.0005,0.1818497399687767,0.0074475336074829104,0.00447798490524292,0.8,-0.39707145853446596,0.6700510897359707,0.6700529009363682,0.15312324296945906,0.31578854133261225,0.3157901097651936,0.2766963976175757,1.0652933148189008,3.3826626189109983
scripts\BMA-Study\EG10_group\TFT_vs_TFT_EG10.db,EG10_group,TFT_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-223701,cadb35fb,4,10.0,Full TFT,TFT,2000,0.8262646396778771,0.6012477114919637,0.7039474488451393,0.0005,0.18175116515159606,0.00684395432472229,0.004478042125701904,0.8,-0.41168160497346734,0.6701911721095994,0.6701930425002736,0.17079212266531663,0.315595700599468,0.3155973698316535,0.27552422329189724,1.0653164203971495,3.3825163820157527
scripts\BMA-Study\EG10_group\TFT_vs_TFT_EG10.db,EG10_group,TFT_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-223701,cadb35fb,5,10.0,Full TFT,TFT,2000,0.8230004713510338,0.5791868854154935,0.7039474186362144,0.0005,0.1858540728390217,0.0028359115123748778,0.004478085041046143,0.7745,-0.43285862921301493,0.7117338643533597,0.7117353924179197,0.17356513255777778,0.2852574645857104,0.28525864743422724,0.30099797421193214,1.0615107096146503,3.3813638058445195
scripts\BMA-Study\EG10_group\TFT_vs_TFT_EG10.db,EG10_group,TFT_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-223701,cadb35fb,3,10.0,Full TFT,TFT,2000,0.826310181478541,0.6018009380983959,0.7039473968186595,0.0005,0.1816813006401062,0.006041805744171142,0.004478116035461426,0.8,-0.4274185098891631,0.6853271690345512,0.6853284894150851,0.17845903148443507,0.30047203527556526,0.30047332883799566,0.28188693899172357,1.047008177474795,3.3774966072966888
scripts\BMA-Study\EG10_group\TFT_vs_TFT_EG10.db,EG10_group,TFT_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-223701,cadb35fb,7,10.0,Full TFT,TFT,2000,0.825530984184371,0.5930759544387025,0.7039473917838389,0.0005,0.1825283527672291,0.006709170341491699,0.004478123188018799,0.8,-0.40031513356641735,0.6501942145210019,0.650195708736117,0.1475142594307539,0.3393660218234382,0.3393681952696454,0.2793006035833387,1.0665228629553307,3.382978517454208
scripts\BMA-Study\EG10_group\TFT_vs_TFT_EG10.db,EG10_group,TFT_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-223701,cadb35fb,1,10.0,Full TFT,TFT,2000,0.8265556628151517,0.6062693799444986,0.7039474840888856,0.0005,0.1814769812822342,0.0055660676956176755,0.004477992057800293,0.8,-0.41586785974653867,0.6909118823920373,0.6909136686834579,0.16710586111637407,0.2930250224054477,0.2930266354860709,0.27962912097666415,1.0394541431202557,3.3751834919561023
