db,folder,file,description,timestamp,commit_sha,seed,epistemic_gain,b_candidates,opponent,phase_idx,game,start,end,duration,mean_joint_dist,start_joint_dist,final_joint_dist,joint_match_ratio,joint_convergence_t,mean_row_dist,start_row_dist,final_row_dist,row_match_ratio,row_convergence_t,mean_col_dist,corr_joint_vfe,corr_joint_efe,corr_joint_gamma,corr_row_vfe,corr_row_efe,corr_row_gamma,mean_vfe,mean_efe,mean_gamma
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,3,10.0,Full,TFT,2,1_2_2_Chicken,1200,2000,800,0.5078585383734631,0.6104450102331785,0.49928856821762146,0.0,,0.022350658401846885,0.15198862552642822,0.0032874530553817748,0.90625,1285.0,0.0,0.13385388503470194,0.2757314883175445,0.27574243380326485,0.1270656922468135,0.24241784255375415,0.24242590933159436,16.55029183268547,-4.957129367178402,2.005888122606249
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,2,10.0,Full,TFT,0,1_2_2_Chicken,0,800,800,0.5008381161951712,0.5292375040587944,0.4989227778401636,0.00125,,0.015242479313164949,0.049091516733169555,0.009255455732345581,0.97375,0.0,0.0,0.25894481805116915,0.1885696271800357,0.18857139241040113,0.40343004630446705,0.4323077327648789,0.4323093159137618,15.640179293826222,-4.98428932679306,2.002106875584445
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,2,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.5573652481511285,0.16809104770421981,0.785721293206749,0.0,,0.39770015455782415,0.16809104770421981,0.5054733079671859,0.0,,0.26,0.6892974271227672,0.8450815775745101,0.8450815293896564,0.6738632505500903,0.8502717604067855,0.8502717185474691,9.129799110069872,-4.428662703940047,2.0813204510294656
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,2,10.0,Full,TFT,2,1_2_2_Chicken,1200,2000,800,0.507632594764249,0.6129848220511588,0.49930569201515174,0.0,,0.021005463264882566,0.14820849657058716,0.003637794256210327,0.915,1280.0,0.0,0.10033790312049472,0.28221911392256954,0.28219824659948683,0.08567289785629655,0.27437552287333367,0.27437688921326464,16.598138747513293,-4.953171454775532,2.006497920599993
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,6,10.0,Full,TFT,0,3_2_2_StagHunt,0,800,800,0.4873957294077964,0.47275616161159095,0.47861983671056735,0.0,,0.014728531651198863,0.033883748352527616,0.023699169456958772,0.98125,0.0,0.0,0.1305482933631103,-0.14192631928041868,-0.1419268064260363,-0.015886343971583814,0.12323891232419623,0.12323939859379857,12.39542943449691,-4.015180536375054,2.1455985616834545
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,6,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.35089856945167947,0.05434214234352112,0.8490018844335997,0.47,803.0,0.24378263329155744,0.05434214234352112,0.5079555916786194,0.47,803.0,0.1825,0.12474910513688958,0.3584948856554439,0.3585370175587973,0.12198974196909008,0.3579185219394475,0.35796064654976956,10.470517313927411,-4.640746583621244,2.0513160322030197
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,6,10.0,Full,TFT,2,3_2_2_StagHunt,1200,2000,800,0.48735642114874184,0.32258926033973695,0.49979136945420294,0.0,,0.012332541719079018,0.16861475586891175,0.00025302886962890624,0.9475,1242.0,0.0,-0.1585299796173335,0.20911063627657606,0.20907225762115172,0.18561085503672847,-0.5226442367973106,-0.5226464085699287,16.273185493946077,-4.978858767628572,2.00283361097751
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,5,10.0,Full,TFT,0,3_2_2_StagHunt,0,800,800,0.4870183134294648,0.47427387321361814,0.48162179291109025,0.0,,0.015138239078223705,0.03194272816181183,0.01956736147403717,0.9775,0.0,0.0,0.09183499025506435,-0.06255525955403402,-0.06255519070519719,0.015728352348270695,0.059617474301352204,0.05961740538365856,12.414665935337544,-3.8240653510627918,2.177158729276246
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,5,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.382559210583509,0.05103482224047184,0.8099448285448719,0.415,803.0,0.26332284313626586,0.05103482224047184,0.5047258675098419,0.415,803.0,0.2025,0.23498141510520998,0.3110548482146913,0.31105381780157443,0.22937418861746192,0.31183354120204354,0.3118323259880778,10.904549732655287,-4.566475029863399,2.061807594851657
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,5,10.0,Full,TFT,2,3_2_2_StagHunt,1200,2000,800,0.48417977135087414,0.3199848234653473,0.4996354971304327,0.0,,0.01563950937241316,0.17532898783683776,0.00043853759765625,0.94125,1247.0,0.0,-0.1180560698800526,-0.23697232886318928,-0.23697277620519533,0.10690580207482735,0.1243597525171655,0.12435832197535773,15.921161097493023,-4.809544133533477,2.0263622354211623
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,8,10.0,Full,TFT,0,3_2_2_StagHunt,0,800,800,0.4873708060158845,0.4740190241967973,0.4824870277739691,0.0,,0.014863547962158918,0.033584239780902865,0.020394176244735718,0.9825,27.0,0.0,0.15099145845369802,-0.08206160746899396,-0.08206332813212244,-0.058984020126273407,0.04932557622173536,0.049325619549990825,12.233138932725415,-3.915789394361606,2.1618036590477123
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,8,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.3760970623071734,0.052877936884760855,0.8323406479787004,0.395,802.0,0.26020040550269186,0.052877936884760855,0.5019251263141632,0.395,802.0,0.195,0.17315088250176028,0.33467935995816267,0.33467430250913033,0.1687998244237798,0.33769796295542387,0.33769291696749765,10.83206248767674,-4.591204751212388,2.0582974487856904
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,8,10.0,Full,TFT,2,3_2_2_StagHunt,1200,2000,800,0.4874112128796715,0.3259612607955933,0.4997094672240594,0.0,,0.012434994839131831,0.16806440830230712,0.00034917831420898436,0.9475,1242.0,0.0,-0.11140357804644865,0.19523379899312793,0.19521711620838775,0.10528119065836218,-0.4438147699488231,-0.4438140137866153,16.250148259997367,-4.969751604771114,2.0040557528152934
